train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1,lr
0.7402476230536792,89.29524826481581,0.3920622730400504,93.41463414634147,0.6537509129310654,0.6566296482261404,0.6874727221414082,0.9431597222136433,0.0001
0.04496438855126807,96.98344901227976,0.48587701713166587,89.63414634146342,0.6628207167706686,0.668958040575113,0.726671952202033,0.9137770434393854,9.891830623632339e-05
0.04415743962105302,97.83769353977576,0.6111870344092206,83.41463414634146,0.6907070856286422,0.6983571798247766,0.7135337853046412,0.8410772753454829,9.572050015330874e-05
0.02627479784910155,98.825413774693,0.6938917357747147,89.14634146341463,0.7026080967628346,0.7009519002479863,0.739714195995485,0.8994218889171882,9.05463412215599e-05
0.018877033961722273,97.99786438868125,0.35561129494411187,92.98780487804879,0.7018821760318629,0.703372804141681,0.7326395477060371,0.9341757562816366,8.362196501476348e-05
0.011470192728600939,98.26481580352376,0.4496381816340656,89.8780487804878,0.6856349946151811,0.691721250184278,0.7209229268522135,0.9037354336886313,7.525e-05
0.015571719509496235,98.2381206620395,0.3106708504804751,92.5,0.7220825005939709,0.7203716116464515,0.7458541156397853,0.9296181716369007,6.57963412215599e-05
0.01684606461278553,98.79871863320876,0.4411342125113418,89.32926829268293,0.6867858923016393,0.6885736535297324,0.7307903702834867,0.9038635867229702,5.567415893174885e-05
0.008401684567723344,98.7720234917245,0.5034704490405757,86.95121951219512,0.7050716618516629,0.7146810725682151,0.7311305913824687,0.879237616193938,4.532584106825116e-05
0.00833163744764956,98.74532835024026,0.5915283033033697,84.32926829268293,0.683424829427708,0.6875691126342985,0.7234971905043871,0.8536673259590886,3.5203658778440106e-05
0.005777653660148495,98.87880405766151,0.6291406128464676,83.53658536585365,0.6820568142277871,0.6892056275420074,0.7200114593324857,0.8459802613725022,2.5750000000000013e-05
0.0054595131568202435,99.17245061398825,0.532465655774605,88.17073170731707,0.6925156581769668,0.6902017404646653,0.7328812312588907,0.8887451550567131,1.7378034985236535e-05
0.004976820359020198,98.718633208756,0.6016952485573,85.73170731707317,0.68624708470541,0.6877410151054087,0.7274687861389989,0.8658593200297258,1.0453658778440107e-05
0.005254604956710704,99.3059263214095,0.6299377730706843,85.0,0.6806784669731497,0.6822284291588986,0.7259604630474469,0.8587118070136792,5.279499846691251e-06
0.0042674900027141385,99.25253603844101,0.6244174826435926,85.1829268292683,0.6823672240819088,0.6839155232430963,0.7262264204942553,0.8605121722860629,2.0816937636766186e-06
