train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1,lr
2.223487780237987,77.97650827549386,1.8027117054636885,71.58536585365853,0.41798381645475935,0.4677102047395794,0.45656516020308585,0.7131909927233646,0.001
1.0409148863401887,89.90923651895355,1.438658550308972,73.23170731707317,0.42863945498851014,0.4630715647574993,0.5123048143256795,0.741019612210227,0.001
0.6646442272672027,91.69781099839828,1.1857218314961688,80.85365853658537,0.537721531281227,0.5474621063690756,0.6000538844108729,0.8205925289269436,0.001
0.1654204081562962,95.14148424986652,1.2239646173105008,77.07317073170732,0.6343917979762912,0.6486325316570337,0.6869851035917995,0.7813358670860301,5e-05
0.05114717738682009,96.79658302189002,1.4671489384116196,75.1829268292683,0.6303921220181556,0.6486049553312035,0.6953181191346086,0.7504759654109396,4.9165182744082176e-05
0.02842885392702603,97.73091297383876,0.872521886592958,80.67073170731707,0.6509154065175048,0.6607502256278135,0.7061535017267668,0.8188819360468104,4.671762239271876e-05
0.023530034722787172,98.05125467164976,1.3598077890349598,76.64634146341463,0.6325487855939783,0.6712985441683772,0.6747355456796947,0.7772940271672283,4.2824116139070415e-05
0.02837357327995401,98.611852642819,1.0683044573155844,79.32926829268293,0.6543900980655573,0.6661479750851224,0.6982168894261057,0.8047677592230422,3.775e-05
0.025660732406620642,98.74532835024026,1.1269611518557479,78.84146341463415,0.6545474150980284,0.6525373180352485,0.7111860691514947,0.7885541474185793,3.1841066605011764e-05
0.01054213289320628,98.93219434063,1.057519787113841,79.39024390243902,0.6407013596681103,0.6462662878748893,0.7010497778758481,0.7955835338105878,2.5500000000000007e-05
0.011658777199134636,99.01227976508275,0.8603643679037327,83.71951219512195,0.6673340163858802,0.6691701587232082,0.7073119629548463,0.8448156557692161,1.915893339498825e-05
0.005617829142931453,99.06567004805126,1.0407178103923798,79.14634146341464,0.632851528990065,0.6359215603713501,0.6992239014891254,0.7953971063526641,1.3250000000000009e-05
0.005512271406791818,99.01227976508275,0.940267362100322,81.40243902439023,0.6596657378739178,0.6581532834662908,0.717933163562749,0.8206119875319429,8.17588386092959e-06
0.004406248557866634,99.0923651895355,0.8927103253399453,83.23170731707317,0.6478528505689914,0.6408291020334098,0.7046165481887666,0.8386614576692869,4.282377607281253e-06
0.005367368357084509,99.11906033101975,0.9219847809977648,82.01219512195121,0.6532520891012843,0.648025637693568,0.7194385816996786,0.8251305937715447,1.8348172559178295e-06
